<xml><!--Date,Open,High,Low,Close,Volume,Adj Close
1/10/2011,126.58,127.16,126.2,126.98,122401700,121.13
1/7/2011,127.56,127.77,126.15,127.14,156034600,121.29
1/6/2011,127.69,127.83,127.01,127.39,122519000,121.53
1/5/2011,126.58,127.72,126.46,127.64,133975300,121.76
1/4/2011,127.33,127.37,126.19,126.98,137409700,121.13
1/3/2011,126.71,127.6,125.7,127.05,138725200,121.2
12/31/2010,125.53,125.87,125.33,125.75,91218900,119.96
12/30/2010,125.8,126.13,125.53,125.72,76616900,119.93
12/29/2010,125.98,126.2,125.9,125.92,58033100,120.12
12/28/2010,125.9,125.95,125.5,125.83,55309100,120.04
12/27/2010,125.13,125.77,125.04,125.65,58126000,119.87
12/23/2010,125.64,125.78,125.29,125.6,70053700,119.82
12/22/2010,125.48,125.82,125.41,125.78,78878100,119.99
12/21/2010,124.99,125.47,124.87,125.39,94965500,119.62
12/20/2010,124.64,124.9,123.98,124.6,119085500,118.86
12/17/2010,124.08,124.46,123.82,124.3,141075300,118.58
12/16/2010,124.18,124.91,123.75,124.82,185035200,118.45
12/15/2010,124.44,124.93,123.89,124.1,160823100,117.77
12/14/2010,124.75,125.23,124.29,124.67,147249600,118.31
12/13/2010,125.05,125.2,124.52,124.56,133812700,118.2
12/10/2010,124.14,124.6,123.73,124.48,117571700,118.13
12/9/2010,123.97,124.02,123.15,123.76,123705100,117.44
12/8/2010,122.98,123.38,122.41,123.28,138019200,116.99
12/7/2010,123.94,124.01,122.76,122.83,206581000,116.56
12/6/2010,122.63,123.04,122.5,122.76,103050500,116.5
12/3/2010,122.14,123.03,122.11,122.89,151288900,116.62
12/2/2010,121.2,122.65,121.13,122.56,191213600,116.31
12/1/2010,120.2,121.24,120.19,121.01,221037200,114.83
11/30/2010,117.98,119.17,117.81,118.49,233930700,112.44
11/29/2010,118.5,119.48,117.74,119.16,223642300,113.08
11/26/2010,119.16,119.81,118.8,118.8,75977600,112.74
11/24/2010,119.2,120.23,119.18,120.2,140046100,114.07
11/23/2010,118.77,119.02,117.99,118.45,222309000,112.41
11/22/2010,119.69,120.24,118.77,120.19,181361000,114.06
11/19/2010,119.9,120.34,119.25,120.29,156852900,114.15
11/18/2010,119.36,120.39,119.35,119.96,197723700,113.84
11/17/2010,118.21,118.71,117.86,118.22,172308900,112.19
11/16/2010,119.29,119.49,117.59,118.16,299566200,112.13
11/15/2010,120.58,121.05,119.98,120.03,163940800,113.9
11/12/2010,120.82,121.35,119.65,120.2,239068800,114.07
11/11/2010,121.05,121.82,120.68,121.64,158017600,115.43
11/10/2010,121.58,122.16,120.66,122.1,221387400,115.87
11/9/2010,122.82,122.95,121.12,121.61,186621600,115.4
11/8/2010,122.34,122.69,121.94,122.49,156107100,116.24
11/5/2010,122.34,122.92,122.18,122.72,180654100,116.46
11/4/2010,121.28,122.32,119.97,122.26,215039400,116.02
11/3/2010,119.68,120.02,118.45,119.95,226702800,113.83
11/2/2010,119.42,119.75,119.1,119.47,158345900,113.37
11/1/2010,119.07,119.75,117.85,118.53,174074800,112.48
10/29/2010,118.28,118.72,118.07,118.49,144305500,112.44
10/28/2010,119.06,119.11,117.83,118.4,168576000,112.36
10/27/2010,117.89,118.51,117.26,118.38,190024000,112.34
10/26/2010,118.1,118.84,117.87,118.72,158982900,112.66
10/25/2010,119.14,119.76,118.61,118.7,151145700,112.64
10/22/2010,118.31,118.53,118,118.35,108212400,112.31
10/21/2010,118.4,119.09,117.21,118.13,221585500,112.1
10/20/2010,116.94,118.44,116.87,117.87,200051800,111.86
